T_FD[K],N_FD
3.79141873140849e-5,9610631.94586959
3.79035687854315e-5,9610268.44557799
3.78929587961409e-5,9609905.1692419
3.7882357317164e-5,9609542.11593507
3.78717643188903e-5,9609179.28470917
3.7861179772392e-5,9608816.67464076
3.78506036488017e-5,9608454.28480777
3.78400359193117e-5,9608092.11428954
3.78294765551741e-5,9607730.16216677
3.78189255277007e-5,9607368.42752153
3.78083828088821e-5,9607006.90946071
3.77978483695287e-5,9606645.60704568
3.7787322182368e-5,9606284.51940946
3.77768042189465e-5,9605923.64563953
3.77662944508701e-5,9605562.98482477
3.77557928510385e-5,9605202.53610216
3.77452993911729e-5,9604842.29856323
3.77348140442868e-5,9604482.27134758
3.77243367822161e-5,9604122.45354938
3.77138675780876e-5,9603762.84431086
3.77034064044672e-5,9603403.44275218
3.76929532339778e-5,9603044.24799477
3.76825080399136e-5,9602685.25918474
3.76720707950093e-5,9602326.47544613
3.76616414726699e-5,9601967.89592757
3.76512200463555e-5,9601609.51977897
3.76408064889667e-5,9601251.34612821
3.76304007746868e-5,9600893.37415102
3.76200028765261e-5,9600535.60297779
3.76096127687756e-5,9600178.03178675
3.7599230425167e-5,9599820.65973405
3.75888558194856e-5,9599463.48597714
3.75784889261824e-5,9599106.50969789
3.75681297191494e-5,9598749.73005619
3.7557778172943e-5,9598393.14623639
3.75474342615611e-5,9598036.75740079
3.75370979596654e-5,9597680.56273618
3.75267692419694e-5,9597324.5614305
3.75164480832381e-5,9596968.7526729
3.75061344582884e-5,9596613.13565374
3.74958283419886e-5,9596257.70956455
3.74855297098668e-5,9595902.4736212
3.74752385362847e-5,9595547.42699443
3.74649547968722e-5,9595192.56890248
3.7454678467309e-5,9594837.8985647
3.74444095221099e-5,9594483.41515539
3.74341479376624e-5,9594129.11791936
3.74238936891889e-5,9593775.00605633
3.74136467525688e-5,9593421.0787903
3.74034071037302e-5,9593067.33534638
3.73931747186506e-5,9592713.77495084
3.73829495733562e-5,9592360.39683105
3.73727316439219e-5,9592007.20021553
3.73625209064717e-5,9591654.18433392
3.73523173371776e-5,9591301.34841699
3.73421209128643e-5,9590948.69171965
3.73319316097998e-5,9590596.21347489
3.73217494049036e-5,9590243.91293981
3.73115742745392e-5,9589891.78934962
3.73014061957205e-5,9589539.84196361
3.72912451455081e-5,9589188.07004215
3.72810911004072e-5,9588836.47282373
3.72709440381737e-5,9588485.04959386
3.72608039354063e-5,9588133.79959317
3.72506707699525e-5,9587782.72210932
3.7240544518504e-5,9587431.8163851
3.72304251589998e-5,9587081.08171027
3.72203126688237e-5,9586730.51735268
3.72102070254056e-5,9586380.12258128
3.72001082068196e-5,9586029.89668894
3.71900161905858e-5,9585679.8389467
3.71799309548679e-5,9585329.94864951
3.71698524772758e-5,9584980.22507049
3.71597807366599e-5,9584630.66752951
3.71497157107186e-5,9584281.27530176
3.71396573771955e-5,9583932.04766342
3.71296057150724e-5,9583582.98393745
3.71195607027769e-5,9583234.08342493
3.71095223181845e-5,9582885.34540512
3.70994905404064e-5,9582536.76920396
3.70894653480006e-5,9582188.35412557
3.70794467201631e-5,9581840.09949784
3.70694346355373e-5,9581492.00462687
3.70594290728098e-5,9581144.06881974
3.704943001071e-5,9580796.29138455
3.70394374286037e-5,9580448.67165313
3.70294513058981e-5,9580101.20895829
3.70194716220418e-5,9579753.90263381
3.70094983559324e-5,9579406.75199167
3.69995314871018e-5,9579059.75636758
3.69895709945316e-5,9578712.91507549
3.69796168584286e-5,9578366.22747574
3.69696690584477e-5,9578019.6929069
